StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q25,Q2,Q3,Q4#1_1,Q4#1_2,Q4#1_3,Q4#1_4,Q4#1_5,Q4#1_6,Q4#2_1,Q4#2_2,Q4#2_3,Q4#2_4,Q4#2_5,Q4#2_6,Q4#3_1_1,Q4#3_2_1,Q4#3_3_1,Q4#3_4_1,Q4#3_5_1,Q4#3_6_1,Q4#4_1,Q4#4_2,Q4#4_3,Q4#4_4,Q4#4_5,Q4#4_6,Q4#5_1,Q4#5_2,Q4#5_3,Q4#5_4,Q4#5_5,Q4#5_6,Q4#6_1,Q4#6_2,Q4#6_3,Q4#6_4,Q4#6_5,Q4#6_6,Q4#7_1_1,Q4#7_2_1,Q4#7_3_1,Q4#7_4_1,Q4#7_5_1,Q4#7_6_1,Q5,Q6,Q7,Q8,id_participant
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What was the first student behavior you observed?,Coder ID,Participant ID,Please rate the following behaviors and redirections: - Did behavior occur? - Ethan Humming,Please rate the following behaviors and redirections: - Did behavior occur? - Dev Rocketry,Please rate the following behaviors and redirections: - Did behavior occur? - Ethan Whispering,Please rate the following behaviors and redirections: - Did behavior occur? - Ethan Beatboxing,Please rate the following behaviors and redirections: - Did behavior occur? - Ethan Texting,Please rate the following behaviors and redirections: - Did behavior occur? - Ethan Singing,Please rate the following behaviors and redirections: - Did teacher acknowledge behavior? - Ethan Humming,Please rate the following behaviors and redirections: - Did teacher acknowledge behavior? - Dev Rocketry,Please rate the following behaviors and redirections: - Did teacher acknowledge behavior? - Ethan Whispering,Please rate the following behaviors and redirections: - Did teacher acknowledge behavior? - Ethan Beatboxing,Please rate the following behaviors and redirections: - Did teacher acknowledge behavior? - Ethan Texting,Please rate the following behaviors and redirections: - Did teacher acknowledge behavior? - Ethan Singing,Please rate the following behaviors and redirections: - Time between behavior and acknowledgement? - Ethan Humming - In seconds,Please rate the following behaviors and redirections: - Time between behavior and acknowledgement? - Dev Rocketry - In seconds,Please rate the following behaviors and redirections: - Time between behavior and acknowledgement? - Ethan Whispering - In seconds,Please rate the following behaviors and redirections: - Time between behavior and acknowledgement? - Ethan Beatboxing - In seconds,Please rate the following behaviors and redirections: - Time between behavior and acknowledgement? - Ethan Texting - In seconds,Please rate the following behaviors and redirections: - Time between behavior and acknowledgement? - Ethan Singing - In seconds,Please rate the following behaviors and redirections: - Did redirection include specific bodily cue? - Ethan Humming,Please rate the following behaviors and redirections: - Did redirection include specific bodily cue? - Dev Rocketry,Please rate the following behaviors and redirections: - Did redirection include specific bodily cue? - Ethan Whispering,Please rate the following behaviors and redirections: - Did redirection include specific bodily cue? - Ethan Beatboxing,Please rate the following behaviors and redirections: - Did redirection include specific bodily cue? - Ethan Texting,Please rate the following behaviors and redirections: - Did redirection include specific bodily cue? - Ethan Singing,Please rate the following behaviors and redirections: - Was redirection cut off? - Ethan Humming,Please rate the following behaviors and redirections: - Was redirection cut off? - Dev Rocketry,Please rate the following behaviors and redirections: - Was redirection cut off? - Ethan Whispering,Please rate the following behaviors and redirections: - Was redirection cut off? - Ethan Beatboxing,Please rate the following behaviors and redirections: - Was redirection cut off? - Ethan Texting,Please rate the following behaviors and redirections: - Was redirection cut off? - Ethan Singing,Please rate the following behaviors and redirections: - Reason for cut off - Ethan Humming,Please rate the following behaviors and redirections: - Reason for cut off - Dev Rocketry,Please rate the following behaviors and redirections: - Reason for cut off - Ethan Whispering,Please rate the following behaviors and redirections: - Reason for cut off - Ethan Beatboxing,Please rate the following behaviors and redirections: - Reason for cut off - Ethan Texting,Please rate the following behaviors and redirections: - Reason for cut off - Ethan Singing,Please rate the following behaviors and redirections: - Length of redirection - Ethan Humming - In seconds,Please rate the following behaviors and redirections: - Length of redirection - Dev Rocketry - In seconds,Please rate the following behaviors and redirections: - Length of redirection - Ethan Whispering - In seconds,Please rate the following behaviors and redirections: - Length of redirection - Ethan Beatboxing - In seconds,Please rate the following behaviors and redirections: - Length of redirection - Ethan Texting - In seconds,Please rate the following behaviors and redirections: - Length of redirection - Ethan Singing - In seconds,How would you describe the teacher's affect?,"Using evidence from the video, provide two points of rationale to support your description of the teacher's affect.",Overall Score: Please rate the video from 1 (low) to 10 (high) based on the following question: To what extent did the teacher's actions support the students in creating classroom rules and expectations?,Provide rationale for the overall score you gave.,nonid
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID27""}","{""ImportId"":""QID9""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3#1_1""}","{""ImportId"":""QID3#1_2""}","{""ImportId"":""QID3#1_3""}","{""ImportId"":""QID3#1_4""}","{""ImportId"":""QID3#1_5""}","{""ImportId"":""QID3#1_6""}","{""ImportId"":""QID3#2_1""}","{""ImportId"":""QID3#2_2""}","{""ImportId"":""QID3#2_3""}","{""ImportId"":""QID3#2_4""}","{""ImportId"":""QID3#2_5""}","{""ImportId"":""QID3#2_6""}","{""ImportId"":""QID3#3_1_1""}","{""ImportId"":""QID3#3_2_1""}","{""ImportId"":""QID3#3_3_1""}","{""ImportId"":""QID3#3_4_1""}","{""ImportId"":""QID3#3_5_1""}","{""ImportId"":""QID3#3_6_1""}","{""ImportId"":""QID3#4_1""}","{""ImportId"":""QID3#4_2""}","{""ImportId"":""QID3#4_3""}","{""ImportId"":""QID3#4_4""}","{""ImportId"":""QID3#4_5""}","{""ImportId"":""QID3#4_6""}","{""ImportId"":""QID3#5_1""}","{""ImportId"":""QID3#5_2""}","{""ImportId"":""QID3#5_3""}","{""ImportId"":""QID3#5_4""}","{""ImportId"":""QID3#5_5""}","{""ImportId"":""QID3#5_6""}","{""ImportId"":""QID3#6_1""}","{""ImportId"":""QID3#6_2""}","{""ImportId"":""QID3#6_3""}","{""ImportId"":""QID3#6_4""}","{""ImportId"":""QID3#6_5""}","{""ImportId"":""QID3#6_6""}","{""ImportId"":""QID3#7_1_1""}","{""ImportId"":""QID3#7_2_1""}","{""ImportId"":""QID3#7_3_1""}","{""ImportId"":""QID3#7_4_1""}","{""ImportId"":""QID3#7_5_1""}","{""ImportId"":""QID3#7_6_1""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_TEXT""}",nonid
2019-03-05 06:02:25,2019-03-05 06:27:42,IP Address,64.99.233.97,100,1517,True,2019-03-05 06:27:42,R_1MKDIdmG7cyaj9g,,,,,38.0321044921875,-78.4889984130859,anonymous,EN,Ethan humming,Claire,102,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,17,6,8,11,8,5,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,,Next behavior,,,,Sim ended,13,50,31,24,30,16,"Increasingly irritated 
Appeared calm but grew less so over the course of the simulation

","'-Thanked students for their compliance 
-Repeated “Ethan, Ethan, Ethan” at the end when Ethan was singing Spongebob
-Rolled her eyes at one point
-Started sighing more frequently and louder during simulation",4,"'-At the high end, the TC supports students in generating at least one classroom expectation, though it might not be supported with logical rationale.
-Teacher candidate affect is, for the most part, calm though there may be occasional instances where they appear otherwise
-The teacher attempted, with mixed success, to redirect off-task student behavior. There were a few successful instances where the TC stopped misbehavior, but they were not very succinct 
-The teacher candidate did not support student engagement. Therefore, there were few moments where all students were engaged in on-task behavior. Some students may be engaging in off-task behavior. Others may be compliant, but not actively engaged.
-Disruptions were lengthy and detracted from the overall quality of the conversation
",1_1819_3_102
2019-03-17 15:10:12,2019-03-17 16:02:49,IP Address,174.204.16.187,100,3157,True,2019-03-17 16:02:49,R_3jTD24WLx4COaQR,,,,,38.7595977783203,-77.1484985351562,anonymous,EN,Ethan humming,Claire,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,2,5,3,4,3,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,,Next behavior,,,,,8,59,12,35,14,12,"'-irritated
-frustrated
","'-TC raised voice, almost to the point of yelling → Ethan suggested a rule about not yelling and the TC did not realize it was directed towards him
-TC started leaning towards the screen more, in an aggressive way
",4,"'-The teaching candidate supported students in generating 2 classroom expectations and supported students in providing rationales for these
-TC included specific bodily cues in almost all re-directions
-Teacher attempted, with mixed success, to redirect off-task student misbehavior
-Some distractions detracted from the overall quality of the conversation
-Overall teacher candidate affect is not calm and may grow less so over the course of the simulation. Teacher candidate appeared really irritated and was very aggressive with students. 

",1_1819_1_14
2019-03-18 15:57:47,2019-03-18 15:59:30,IP Address,84.123.72.31,100,102,True,2019-03-18 15:59:30,R_bEEZfynOTRwMpyx,,,,,39.4698028564453,-0.377395629882812,anonymous,EN,Ethan humming,Rachel L,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,3,4,2,21,8,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Next behavior,Next behavior,,,,,46,53,55,2,10,18,Calm,TC does not raise voice/yell at students; says “thank you” to students after redirections,5,"TC is able to support students in coming up with a couple of classroom norm, although there is limited rational behind them. TC has mixed success with redirecting student misbehaviors; some are very long which definitely detracts from the discussion about norms. There are some moments when all students are engaged in the conversation. ",1_1819_1_30
2019-03-18 18:00:20,2019-03-18 18:02:33,IP Address,108.169.215.227,100,132,True,2019-03-18 18:02:33,R_31EHKPSLt88vmTb,,,,,38.0321044921875,-78.4889984130859,anonymous,EN,Ethan humming,Rachel G,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,17,3,2,5,4,2,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Next behavior,Next behavior,,Next behavior,,Sim ended,40,59,18,40,33,14,increasingly irritated ,"Repeats Ethan's name multiple times when redirecting at the end, says ""we just talked about this"" ",3,"2 norms generated, most dialogue focused on misbehaviors (some instances of dialogue on norms), redirections were lengthy although acknowledgment was timely for most behaviors, teacher seems more frustrated towards the end, most redirections not specific ",1_1819_1_2
2019-03-24 11:04:42,2019-03-24 11:07:42,IP Address,199.111.226.207,100,179,True,2019-03-24 11:07:42,R_XqeeYqklPn6WDwl,,,,,38.0935974121093,-78.5623016357421,anonymous,EN,Ethan humming,Rachel G,23,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,21,16,2,6,4,5,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Next behavior,Next behavior,Next behavior,Next behavior,,Sim ended,40,42,47,32,26,27,nervous,"Redirections are very round about (makes me think he might be unsure), checks watch ",3,"No norms created, attempts with mixed success to redirect behaviors but all are very lengthy, all of dialogue is focused on misbehaviors",1_1819_1_23
2019-03-24 14:03:19,2019-03-24 14:08:11,IP Address,199.111.226.207,100,292,True,2019-03-24 14:08:11,R_3Ld6IfHuogcSQpE,,,,,38.0935974121093,-78.5623016357421,anonymous,EN,Ethan humming,Rachel G,46,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,18,2,3,17,8,6,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Next behavior,Next behavior,Next behavior,Next behavior,Next behavior,Sim ended,38,54,50,27,46,26,calm/unsure,"teacher never gets angry but seems unsure in redirections, tries to talk over behaviors, engages with behaviors, seems a bit nervous (increasingly though throughout the simulation)",2,"Generated no rules, acknowledged all behaviors but did not effectively redirect any behaviors, all dialogue was focused on misbehaviors, teacher grew more nervous and unsure throughout",1_1819_2_46
2019-03-24 14:27:05,2019-03-24 14:28:37,IP Address,64.99.233.97,100,91,True,2019-03-24 14:28:37,R_1dELEykOWLfvd47,,,,,38.0321044921875,-78.4889984130859,anonymous,EN,Ethan humming,Claire,41,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,3,5,2,3,6,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,,,,,,,9,9,8,17,2,22,"unruffled
firm
","remains unruffled throughout most of the simulation
**laughed at the last behavior and rolled her eyes → maybe because behavior was kind of funny/unexpected? 
says please and thank you to students when giving redirections, smiles a lot
",8,"'-The teacher candidate facilitated a well-paced discussion focused on classroom norms and their rationale. 
-The teaching candidate supported students in generating 2-3 reasonable classroom expectations as well 
-The teacher efficiently redirected all off-task student behavior such that disruptions were extremely brief and did not detract from the overall quality of the discussion. 
-The majority of dialogue advances the classroom discussion. 
-The teacher candidate supported student engagement such that all students were engaged in on-task behavior for the majority of the simulation
- Teacher candidate affect is confident and they remain unruffled throughout the simulation. 
-Effectively re-directs all 6 mis-behaviors, some re-directions were lengthier than others
",1_1819_2_41
2019-03-25 17:22:25,2019-03-25 17:24:01,IP Address,84.123.72.31,100,95,True,2019-03-25 17:24:01,R_0ilqlr4YUJ7uyB3,,,,,39.4698028564453,-0.377395629882812,anonymous,EN,Ethan humming,Rachel L,83,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,38,11,18,42,4,7,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Next behavior,Next behavior,Next behavior,Next behavior,Next behavior,Sim ended,20,39,38,2,46,21,"Calm, but unsure","Does not show physical signs of irritation/annoyance (does not raise voice, etc), but is unsure how to redirect misbehavior. Towards the end, TC repeats Ethan’s name a lot and starts asking him to leave the table, take a break, etc. 
",2,TC was not able to support students in generating any classroom norms. TC was unsuccessful at redirecting all misbehaviors as redirections did not include specific cues and were not succinct. Disruptions were extremely lengthy which detracted from the quality of the discussion. There were no instances where all students were engaged with the discussion about classroom norms. TC remains calm but becomes unsure of what to do. ,1_1819_3_83
