StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4#1_1,Q4#1_2,Q4#1_3,Q4#1_4,Q4#1_5,Q4#1_6,Q4#2_1,Q4#2_2,Q4#2_3,Q4#2_4,Q4#2_5,Q4#2_6,Q4#3_1_1,Q4#3_2_1,Q4#3_3_1,Q4#3_4_1,Q4#3_5_1,Q4#3_6_1,Q4#4_1,Q4#4_2,Q4#4_3,Q4#4_4,Q4#4_5,Q4#4_6,Q4#5_1,Q4#5_2,Q4#5_3,Q4#5_4,Q4#5_5,Q4#5_6,Q4#6_1,Q4#6_2,Q4#6_3,Q4#6_4,Q4#6_5,Q4#6_6,Q4#7_1_1,Q4#7_2_1,Q4#7_3_1,Q4#7_4_1,Q4#7_5_1,Q4#7_6_1,Q5,Q6,Q7,Q8,id_participant
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Coder ID,Participant ID,Please rate the following behaviors and redirections: - Did behavior occur? - Ethan Humming,Please rate the following behaviors and redirections: - Did behavior occur? - Dev Rocketry,Please rate the following behaviors and redirections: - Did behavior occur? - Ethan Whispering,Please rate the following behaviors and redirections: - Did behavior occur? - Ethan Beatboxing,Please rate the following behaviors and redirections: - Did behavior occur? - Ethan Texting,Please rate the following behaviors and redirections: - Did behavior occur? - Ethan Singing,Please rate the following behaviors and redirections: - Did teacher acknowledge behavior? - Ethan Humming,Please rate the following behaviors and redirections: - Did teacher acknowledge behavior? - Dev Rocketry,Please rate the following behaviors and redirections: - Did teacher acknowledge behavior? - Ethan Whispering,Please rate the following behaviors and redirections: - Did teacher acknowledge behavior? - Ethan Beatboxing,Please rate the following behaviors and redirections: - Did teacher acknowledge behavior? - Ethan Texting,Please rate the following behaviors and redirections: - Did teacher acknowledge behavior? - Ethan Singing,Please rate the following behaviors and redirections: - Time between behavior and acknowledgement? - Ethan Humming - In seconds,Please rate the following behaviors and redirections: - Time between behavior and acknowledgement? - Dev Rocketry - In seconds,Please rate the following behaviors and redirections: - Time between behavior and acknowledgement? - Ethan Whispering - In seconds,Please rate the following behaviors and redirections: - Time between behavior and acknowledgement? - Ethan Beatboxing - In seconds,Please rate the following behaviors and redirections: - Time between behavior and acknowledgement? - Ethan Texting - In seconds,Please rate the following behaviors and redirections: - Time between behavior and acknowledgement? - Ethan Singing - In seconds,Please rate the following behaviors and redirections: - Did redirection include specific bodily cue? - Ethan Humming,Please rate the following behaviors and redirections: - Did redirection include specific bodily cue? - Dev Rocketry,Please rate the following behaviors and redirections: - Did redirection include specific bodily cue? - Ethan Whispering,Please rate the following behaviors and redirections: - Did redirection include specific bodily cue? - Ethan Beatboxing,Please rate the following behaviors and redirections: - Did redirection include specific bodily cue? - Ethan Texting,Please rate the following behaviors and redirections: - Did redirection include specific bodily cue? - Ethan Singing,Please rate the following behaviors and redirections: - Was redirection cut off? - Ethan Humming,Please rate the following behaviors and redirections: - Was redirection cut off? - Dev Rocketry,Please rate the following behaviors and redirections: - Was redirection cut off? - Ethan Whispering,Please rate the following behaviors and redirections: - Was redirection cut off? - Ethan Beatboxing,Please rate the following behaviors and redirections: - Was redirection cut off? - Ethan Texting,Please rate the following behaviors and redirections: - Was redirection cut off? - Ethan Singing,Please rate the following behaviors and redirections: - Reason for cut off - Ethan Humming,Please rate the following behaviors and redirections: - Reason for cut off - Dev Rocketry,Please rate the following behaviors and redirections: - Reason for cut off - Ethan Whispering,Please rate the following behaviors and redirections: - Reason for cut off - Ethan Beatboxing,Please rate the following behaviors and redirections: - Reason for cut off - Ethan Texting,Please rate the following behaviors and redirections: - Reason for cut off - Ethan Singing,Please rate the following behaviors and redirections: - Length of redirection - Ethan Humming - In seconds,Please rate the following behaviors and redirections: - Length of redirection - Dev Rocketry - In seconds,Please rate the following behaviors and redirections: - Length of redirection - Ethan Whispering - In seconds,Please rate the following behaviors and redirections: - Length of redirection - Ethan Beatboxing - In seconds,Please rate the following behaviors and redirections: - Length of redirection - Ethan Texting - In seconds,Please rate the following behaviors and redirections: - Length of redirection - Ethan Singing - In seconds,How would you describe the teacher's affect?,"Using evidence from the video, provide two points of rationale to support your description of the teacher's affect.",Overall Score: Please rate the video from 1 (low) to 10 (high) based on the following question: To what extent did the teacher's actions support the students in creating classroom rules and expectations?,Provide rationale for the overall score you gave.,nonid
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3#1_1""}","{""ImportId"":""QID3#1_2""}","{""ImportId"":""QID3#1_3""}","{""ImportId"":""QID3#1_4""}","{""ImportId"":""QID3#1_5""}","{""ImportId"":""QID3#1_6""}","{""ImportId"":""QID3#2_1""}","{""ImportId"":""QID3#2_2""}","{""ImportId"":""QID3#2_3""}","{""ImportId"":""QID3#2_4""}","{""ImportId"":""QID3#2_5""}","{""ImportId"":""QID3#2_6""}","{""ImportId"":""QID3#3_1_1""}","{""ImportId"":""QID3#3_2_1""}","{""ImportId"":""QID3#3_3_1""}","{""ImportId"":""QID3#3_4_1""}","{""ImportId"":""QID3#3_5_1""}","{""ImportId"":""QID3#3_6_1""}","{""ImportId"":""QID3#4_1""}","{""ImportId"":""QID3#4_2""}","{""ImportId"":""QID3#4_3""}","{""ImportId"":""QID3#4_4""}","{""ImportId"":""QID3#4_5""}","{""ImportId"":""QID3#4_6""}","{""ImportId"":""QID3#5_1""}","{""ImportId"":""QID3#5_2""}","{""ImportId"":""QID3#5_3""}","{""ImportId"":""QID3#5_4""}","{""ImportId"":""QID3#5_5""}","{""ImportId"":""QID3#5_6""}","{""ImportId"":""QID3#6_1""}","{""ImportId"":""QID3#6_2""}","{""ImportId"":""QID3#6_3""}","{""ImportId"":""QID3#6_4""}","{""ImportId"":""QID3#6_5""}","{""ImportId"":""QID3#6_6""}","{""ImportId"":""QID3#7_1_1""}","{""ImportId"":""QID3#7_2_1""}","{""ImportId"":""QID3#7_3_1""}","{""ImportId"":""QID3#7_4_1""}","{""ImportId"":""QID3#7_5_1""}","{""ImportId"":""QID3#7_6_1""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_TEXT""}",nonid
2018-08-05 11:52:20,2018-08-05 12:08:22,IP Address,73.12.28.114,100,962,True,2018-08-05 12:08:22,R_1DG1LFyukbYExE4,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,10,19,,6,8,11,No,No,,No,No,No,Yes,Yes,,Yes,Yes,Yes,Next behavior,Next behavior,,Next behavior,Next behavior,Sim ended,31,38,,54,43,20,Slightly annoyed,Some hand wringing. Some eyebrow raising and eye rolling. ,2,Note: order of whispering and beatboxing behaviors was switched by actor ,1_1819_1_1
2018-08-05 12:28:36,2018-08-05 12:30:57,IP Address,73.12.28.114,100,141,True,2018-08-05 12:30:57,R_zbNDFbpkHNBY653,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,30,21,6,7,2,,No,No,No,Yes,No,,Yes,Yes,Yes,No,Yes,,Next behavior,Next behavior,Next behavior,,Next behavior,,21,34,55,4,45,,Flustered,Nervous laughter. Moving body a lot. Tone of voice is exasperated at times.,3,,1_1819_1_2
2018-08-05 12:50:12,2018-08-05 12:55:15,IP Address,73.12.28.114,100,302,True,2018-08-05 12:55:15,R_1LSRL5gAU8hCSjT,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,29,11,3,9,4,4,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,,Next behavior,,,,,22,44,47,22,6,6,Mostly calm,"Does not raise voice. Relaxed body movements. Very subtle signs of being irritated, such as micro eyebrow raising and subtle changes to tone of voice. ",6,,1_1819_1_3
2018-08-05 13:06:06,2018-08-05 13:10:16,IP Address,73.12.28.114,100,250,True,2018-08-05 13:10:17,R_21aEOkZyCCNB3UR,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,7,2,4,3,7,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,,,,,,Sim ended,29,14,13,5,12,29,calm,relaxed body movements. does not raise voice. tone of voice is cheerful. ,7,,1_1819_1_4
2018-08-05 13:23:56,2018-08-05 13:26:11,IP Address,73.12.28.114,100,134,True,2018-08-05 13:26:11,R_1kZgh53W7n6CUOi,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,20,7,1,11,5,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Next behavior,,Next behavior,Next behavior,,Sim ended,54,29,39,47,12,15,Mix of calm and nervous,Some nervous laughter. Tone of voice is appropriate mix of warm and firm. Does not raise voice. Uses polite language like please and thank you.,4,,1_1819_1_5
2018-08-05 13:35:27,2018-08-05 13:36:53,IP Address,73.12.28.114,100,85,True,2018-08-05 13:36:54,R_10HowcOaJFyvEoZ,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,9,14,25,2,5,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Next behavior,Next behavior,Next behavior,Next behavior,Next behavior,Sim ended,41,50,35,21,51,21,Flustered,Nervous laugher. Raises voice to talk over sound of misbehavior.,3,,nonid
2018-08-05 13:46:14,2018-08-05 13:49:18,IP Address,73.12.28.114,100,183,True,2018-08-05 13:49:18,R_1IHhRu9mq6nXHch,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,11,10,1,9,7,4,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Next behavior,Next behavior,Next behavior,,,,43,48,53,22,20,6,Mostly calm,Some nervous laughter. Tone of voice is mostly warm but appropriately firm at times. Uses polite language. Relaxed body movements. ,5,,1_1819_1_7
2018-08-05 13:59:10,2018-08-05 14:00:28,IP Address,73.12.28.114,100,78,True,2018-08-05 14:00:29,R_2EbO2SMvelFLzQ6,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12,16,5,19,11,5,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Next behavior,,,,,,34,21,30,14,4,29,Calm,Tone of voice is warm. Relaxed body movements. Smiling appropriately,6,,1_1819_1_8
